Location,Amplitude
"ARENA COVE, CA",0.09
"ARENA COVE, CA",0.06
"ARENA COVE, CA",0.08
"ARENA COVE, CA",0.19
"ARENA COVE, CA",0.03
"ARENA COVE, CA",0.61
"ARENA COVE, CA",0.25
"ARENA COVE, CA",0.04
"ARENA COVE, CA",0.05
"ARENA COVE, CA",0.04
"ARENA COVE, CA",0.44
"ARENA COVE, CA",0.04
"ARENA COVE, CA",0.39
"ARENA COVE, CA",1.74
"ARENA COVE, CA",0.06
"ARENA COVE, CA",0.35
"ARENA COVE, CA",0.17
"ARENA COVE, CA",0.15
"ALAMEDA, CA",0.4
"ALAMEDA, CA",0.18
"ALAMEDA, CA",0.31
"ALAMEDA, CA",0.1
"ALAMEDA, CA",0.04
"ALAMEDA, CA",0.04
"ALAMEDA, CA",0.04
"ALAMEDA, CA",0.12
"ALAMEDA, CA",0.51
"ALAMEDA, CA",0.11
"ALAMEDA, CA",0.06
"ALAMEDA, CA",0.06
